n_focals,k_add,cond,xeu,n_p,n_a,n_t,n_fod,n_focals2,belg_size,belg_time,proper_belg,dt_ok,dt_size,dt_time,dt_max_lg,ct_ok,ct_size,ct_time,ct_max_lg,tt_ok,tt_size,tt_time,tt_max_lg
5,3,dempster,TBEU,3,2;3;3,3,9,5,1458,0.000698,True,None,22032,0.292476,7,None,9882,0.112736,7,None,486,0.003408,3,
5,3,dempster,TBEU,3,2;3;3,3,13,5,1458,0.000696,True,None,9720,0.128767,6,None,4950,0.044758,5,None,702,0.005025,3,
5,3,dempster,TBEU,3,3;3;3,2,7,5,648,0.000442,True,None,15552,0.211919,6,None,8829,0.082632,5,None,567,0.003645,3,
5,3,dempster,TBEU,3,3;3;3,2,7,5,648,0.000503,True,None,15552,0.214332,6,None,8100,0.083092,5,None,567,0.003746,3,
5,3,dempster,TBEU,3,3;3;3,3,12,5,2187,0.000711,True,None,43740,0.584480,7,None,10287,0.096052,5,None,972,0.006227,3,
5,3,dempster,TBEU,3,3;3;3,3,11,5,2187,0.000724,True,None,65610,0.869294,7,None,11097,0.115284,6,None,891,0.005768,3,
5,4,dempster,TBEU,2,2;2,2,4,4,32,0.000428,True,None,176,0.002383,4,None,128,0.001429,3,None,32,0.000372,2,
5,4,dempster,TBEU,2,2;2,2,4,3,32,0.000352,True,None,112,0.001406,4,None,104,0.001176,3,None,32,0.000335,2,
5,4,dempster,TBEU,2,2;2,3,8,5,72,0.000442,True,None,568,0.007468,5,None,328,0.003556,4,None,64,0.000760,2,
5,4,dempster,TBEU,2,2;2,3,7,5,72,0.000398,True,None,1024,0.012321,6,None,216,0.002522,4,None,56,0.000709,2,
5,4,dempster,TBEU,2,3;2,2,4,4,48,0.000337,True,None,378,0.004212,4,None,192,0.001784,3,None,48,0.000440,2,
5,4,dempster,TBEU,2,3;2,2,4,5,48,0.000320,True,None,522,0.005854,4,None,228,0.002193,3,None,48,0.000462,2,
5,4,dempster,TBEU,2,3;2,3,9,5,108,0.000406,True,None,1332,0.016970,5,None,696,0.006781,4,None,108,0.001089,2,
5,4,dempster,TBEU,2,3;2,3,9,5,108,0.000510,True,None,4788,0.060744,6,None,558,0.004971,3,None,108,0.001127,2,
5,4,dempster,TBEU,2,2;3,2,4,4,48,0.000371,True,None,486,0.005079,4,None,192,0.001816,3,None,48,0.000445,2,
5,4,dempster,TBEU,2,2;3,2,4,3,48,0.000354,True,None,432,0.004647,4,None,174,0.001646,3,None,48,0.000414,2,
5,4,dempster,TBEU,2,2;3,3,9,5,108,0.000394,True,None,2664,0.034378,6,None,342,0.003247,3,None,108,0.001129,2,
5,4,dempster,TBEU,2,2;3,3,8,5,108,0.000445,True,None,1332,0.015768,5,None,390,0.003582,3,None,96,0.000914,2,
5,4,dempster,TBEU,2,3;3,2,4,5,72,0.000430,True,None,1134,0.013135,4,None,378,0.003254,3,None,72,0.000555,2,
5,4,dempster,TBEU,2,3;3,2,4,5,72,0.000328,True,None,1134,0.012155,4,None,396,0.003365,3,None,72,0.000554,2,
5,4,dempster,TBEU,2,3;3,3,7,5,162,0.000402,True,None,14661,0.177763,6,None,531,0.004470,3,None,126,0.001016,2,
5,4,dempster,TBEU,2,3;3,3,8,5,162,0.000428,True,None,6075,0.074519,6,None,954,0.008346,4,None,144,0.001089,2,
5,4,dempster,TBEU,3,2;2;2,2,7,4,192,0.000456,True,None,1312,0.021676,6,None,1744,0.020291,5,None,168,0.001636,3,
5,4,dempster,TBEU,3,2;2;2,2,8,5,192,0.000519,True,None,1472,0.023305,6,None,1776,0.020066,5,None,192,0.001869,3,
5,4,dempster,TBEU,3,2;2;2,3,15,5,648,0.000701,True,None,6272,0.102349,8,None,1952,0.020746,5,None,360,0.004143,3,
5,4,dempster,TBEU,3,2;2;2,3,15,5,648,0.001476,True,None,8832,0.143936,9,None,3008,0.041719,7,None,360,0.003825,3,
5,4,dempster,TBEU,3,3;2;2,2,7,5,288,0.000507,True,None,3072,0.046787,6,None,2784,0.031640,5,None,252,0.002099,3,
5,4,dempster,TBEU,3,3;2;2,2,8,5,288,0.000481,True,None,4320,0.055968,6,None,2700,0.027717,5,None,288,0.002390,3,
5,4,dempster,TBEU,3,3;2;2,3,12,5,972,0.000728,True,None,19728,0.302603,8,None,6744,0.077895,7,None,432,0.003568,3,
5,4,dempster,TBEU,3,3;2;2,3,16,5,972,0.000719,True,None,15984,0.250953,8,None,6048,0.068146,6,None,576,0.004879,3,
5,4,dempster,TBEU,3,2;3;2,2,5,5,288,0.000440,True,None,3072,0.041786,6,None,1668,0.018991,5,None,180,0.001549,3,
5,4,dempster,TBEU,3,2;3;2,2,6,5,288,0.000474,True,None,3816,0.059858,6,None,3252,0.040180,5,None,216,0.002100,3,
5,4,dempster,TBEU,3,2;3;2,3,15,5,972,0.000758,True,None,19728,0.306256,8,None,6324,0.082898,7,None,540,0.004518,3,
5,4,dempster,TBEU,3,2;3;2,3,11,5,972,0.000720,True,None,15840,0.255957,8,None,6588,0.087283,7,None,396,0.003577,3,
5,4,dempster,TBEU,3,3;3;2,2,8,5,432,0.000470,True,None,5778,0.087979,6,None,4842,0.050696,5,None,432,0.003187,3,
5,4,dempster,TBEU,3,3;3;2,2,6,5,432,0.000456,True,None,6912,0.114522,6,None,4878,0.048974,5,None,324,0.002383,3,
5,4,dempster,TBEU,3,3;3;2,3,12,5,1458,0.000725,True,None,43902,0.722625,8,None,22878,0.304287,7,None,648,0.004793,3,
5,4,dempster,TBEU,3,3;3;2,3,15,5,1458,0.000752,True,None,34668,0.541848,8,None,21708,0.267292,7,None,810,0.005941,3,
5,4,dempster,TBEU,3,2;2;3,2,7,5,288,0.000464,True,None,3312,0.055146,6,None,3960,0.042906,5,None,252,0.002202,3,
5,4,dempster,TBEU,3,2;2;3,2,7,5,288,0.000479,True,None,3696,0.054706,6,None,2664,0.027494,5,None,252,0.002043,3,
5,4,dempster,TBEU,3,2;2;3,3,16,5,972,0.000718,True,None,32736,0.525882,9,None,8388,0.099211,7,None,576,0.005453,3,
5,4,dempster,TBEU,3,2;2;3,3,17,5,972,0.000733,True,None,22464,0.373911,9,None,5328,0.058729,6,None,612,0.005373,3,
5,4,dempster,TBEU,3,3;2;3,2,8,5,432,0.000495,True,None,6912,0.109851,6,None,6696,0.074323,5,None,432,0.003586,3,
5,4,dempster,TBEU,3,3;2;3,2,8,5,432,0.000475,True,None,8316,0.140026,6,None,6642,0.068508,5,None,432,0.003116,3,
5,4,dempster,TBEU,3,3;2;3,3,15,5,1458,0.000723,True,None,113400,1.746580,9,None,5580,0.053950,6,None,810,0.005931,3,
5,4,dempster,TBEU,3,3;2;3,3,16,5,1458,0.000778,True,None,53784,0.850863,8,None,17244,0.213007,7,None,864,0.006292,3,
5,4,dempster,TBEU,3,2;3;3,2,7,5,432,0.000453,True,None,5454,0.079946,6,None,5976,0.065008,5,None,378,0.002819,3,
5,4,dempster,TBEU,3,2;3;3,2,7,3,432,0.000507,True,None,3024,0.050176,6,None,4266,0.044167,5,None,378,0.002800,3,
5,4,dempster,TBEU,3,2;3;3,3,13,5,1458,0.000823,True,None,53460,0.755231,8,None,9720,0.107058,6,None,702,0.005125,3,
5,4,dempster,TBEU,3,2;3;3,3,13,5,1458,0.000758,True,None,90936,1.400272,9,None,11304,0.121041,7,None,702,0.005263,3,
5,4,dempster,TBEU,3,3;3;3,2,8,5,648,0.000498,True,None,17820,0.304368,6,None,14175,0.148229,5,None,648,0.004137,3,
5,4,dempster,TBEU,3,3;3;3,2,7,4,648,0.000506,True,None,11178,0.169816,6,None,11016,0.114377,5,None,567,0.003674,3,
5,4,dempster,TBEU,3,3;3;3,3,15,5,2187,0.000756,True,None,301806,4.688490,9,None,17091,0.168793,6,None,1215,0.008166,3,
5,4,dempster,TBEU,3,3;3;3,3,15,5,2187,0.000804,True,None,227448,3.767391,9,None,30294,0.413442,7,None,1215,0.007971,3,
5,5,dempster,TBEU,2,2;2,2,4,4,32,0.000467,True,None,216,0.002852,4,None,120,0.001387,3,None,32,0.000422,2,
5,5,dempster,TBEU,2,2;2,2,4,5,32,0.000319,True,None,240,0.002723,4,None,104,0.001615,3,None,32,0.000412,2,
5,5,dempster,TBEU,2,2;2,3,7,5,72,0.000427,True,None,656,0.008446,6,None,168,0.001871,3,None,56,0.000768,2,
5,5,dempster,TBEU,2,2;2,3,9,5,72,0.000435,True,None,608,0.008362,5,None,344,0.003643,4,None,72,0.000884,2,
5,5,dempster,TBEU,2,3;2,2,4,5,48,0.000346,True,None,720,0.008261,4,None,228,0.002250,3,None,48,0.000480,2,
5,5,dempster,TBEU,2,3;2,2,4,4,48,0.000345,True,None,576,0.006595,4,None,228,0.002154,3,None,48,0.000445,2,
5,5,dempster,TBEU,2,3;2,3,9,5,108,0.000420,True,None,4392,0.067515,6,None,678,0.008329,4,None,108,0.001188,2,
5,5,dempster,TBEU,2,3;2,3,9,5,108,0.000470,True,None,2916,0.048098,6,None,792,0.007960,4,None,108,0.001347,2,
5,5,dempster,TBEU,2,2;3,2,4,5,48,0.000395,True,None,720,0.012149,4,None,228,0.002341,3,None,48,0.000567,2,
5,5,dempster,TBEU,2,2;3,2,4,5,48,0.000480,True,None,612,0.007276,4,None,228,0.002352,3,None,48,0.000503,2,
5,5,dempster,TBEU,2,2;3,3,9,5,108,0.000471,True,None,2880,0.044972,6,None,780,0.008105,4,None,108,0.001201,2,
5,5,dempster,TBEU,2,2;3,3,9,5,108,0.000659,True,None,3816,0.055418,6,None,564,0.005068,3,None,108,0.001749,2,
5,5,dempster,TBEU,2,3;3,2,4,3,72,0.000520,True,None,972,0.021213,4,None,396,0.003995,3,None,72,0.000535,2,
5,5,dempster,TBEU,2,3;3,2,4,3,72,0.000409,True,None,729,0.010511,4,None,378,0.003820,3,None,72,0.000647,2,
5,5,dempster,TBEU,2,3;3,3,9,5,162,0.000532,True,None,15552,0.240445,6,None,1584,0.015018,4,None,162,0.001491,2,
5,5,dempster,TBEU,2,3;3,3,9,5,162,0.000458,True,None,11502,0.161521,6,None,1179,0.010833,4,None,162,0.001888,2,
5,5,dempster,TBEU,3,2;2;2,2,8,5,192,0.000666,True,None,1696,0.036728,6,None,2232,0.029092,5,None,192,0.002008,3,
5,5,dempster,TBEU,3,2;2;2,2,8,5,192,0.000488,True,None,1472,0.027697,6,None,2528,0.033297,5,None,192,0.002159,3,
5,5,dempster,TBEU,3,2;2;2,3,18,5,648,0.000827,True,None,11648,0.244187,9,None,4536,0.055685,6,None,432,0.004756,3,
5,5,dempster,TBEU,3,2;2;2,3,17,5,648,0.000793,True,None,12544,0.245729,9,None,4024,0.049526,7,None,408,0.004606,3,
5,5,dempster,TBEU,3,3;2;2,2,7,5,288,0.000512,True,None,4320,0.086144,6,None,5364,0.066147,5,None,252,0.002618,3,
5,5,dempster,TBEU,3,3;2;2,2,8,5,288,0.000523,True,None,3600,0.055714,6,None,3384,0.035095,5,None,288,0.002477,3,
5,5,dempster,TBEU,3,3;2;2,3,18,5,972,0.000784,True,None,31104,0.587960,9,None,7536,0.082568,7,None,648,0.005688,3,
5,5,dempster,TBEU,3,3;2;2,3,17,5,972,0.000781,True,None,51840,0.994110,9,None,9660,0.113381,7,None,612,0.005471,3,
5,5,dempster,TBEU,3,2;3;2,2,8,5,288,0.000572,True,None,4320,0.076589,6,None,4968,0.058556,5,None,288,0.002546,3,
5,5,dempster,TBEU,3,2;3;2,2,8,5,288,0.000595,True,None,4320,0.071908,6,None,4452,0.051897,5,None,288,0.002722,3,
5,5,dempster,TBEU,3,2;3;2,3,17,5,972,0.000832,True,None,41904,0.909611,9,None,8772,0.102290,6,None,612,0.005533,3,
5,5,dempster,TBEU,3,2;3;2,3,16,5,972,0.000806,True,None,12528,0.236166,8,None,7932,0.096519,6,None,576,0.005533,3,
5,5,dempster,TBEU,3,3;3;2,2,8,5,432,0.000551,True,None,9720,0.168005,6,None,7632,0.083599,5,None,432,0.003499,3,
5,5,dempster,TBEU,3,3;3;2,2,8,5,432,0.000485,True,None,9720,0.161181,6,None,7254,0.077783,5,None,432,0.003380,3,
5,5,dempster,TBEU,3,3;3;2,3,15,5,1458,0.000755,True,None,40500,0.893399,8,None,18594,0.241665,6,None,810,0.006430,3,
5,5,dempster,TBEU,3,3;3;2,3,15,5,1458,0.000866,True,None,134136,2.614387,9,None,22320,0.268664,7,None,810,0.007255,3,
5,5,dempster,TBEU,3,2;2;3,2,8,5,288,0.000555,True,None,3312,0.055601,6,None,4104,0.051288,5,None,288,0.002640,3,
5,5,dempster,TBEU,3,2;2;3,2,8,5,288,0.000562,True,None,4320,0.071848,6,None,4584,0.050566,5,None,288,0.002547,3,
5,5,dempster,TBEU,3,2;2;3,3,15,5,972,0.000796,True,None,29952,0.598452,9,None,8328,0.101604,7,None,540,0.004590,3,
5,5,dempster,TBEU,3,2;2;3,3,16,5,972,0.000791,True,None,49536,0.962115,9,None,13668,0.191168,7,None,576,0.005083,3,
5,5,dempster,TBEU,3,3;2;3,2,7,5,432,0.000532,True,None,7452,0.134884,6,None,7506,0.099229,5,None,378,0.002896,3,
5,5,dempster,TBEU,3,3;2;3,2,8,5,432,0.000521,True,None,9720,0.172743,6,None,9108,0.110049,5,None,432,0.003241,3,
5,5,dempster,TBEU,3,3;2;3,3,14,5,1458,0.000785,True,None,75816,1.377282,8,None,23130,0.291320,7,None,756,0.005690,3,
5,5,dempster,TBEU,3,3;2;3,3,15,5,1458,0.000789,True,None,48276,0.903786,8,None,20520,0.222976,6,None,810,0.006024,3,
5,5,dempster,TBEU,3,2;3;3,2,7,5,432,0.000471,True,None,6912,0.108570,6,None,5976,0.068422,5,None,378,0.002784,3,
5,5,dempster,TBEU,3,2;3;3,2,7,5,432,0.000490,True,None,8316,0.153648,6,None,7182,0.079305,5,None,378,0.002815,3,
5,5,dempster,TBEU,3,2;3;3,3,14,5,1458,0.000786,True,None,187596,3.115991,9,None,13986,0.151578,6,None,756,0.007795,3,
5,5,dempster,TBEU,3,2;3;3,3,16,5,1458,0.001424,True,None,150660,2.785125,9,None,16020,0.179091,6,None,864,0.006638,3,
5,5,dempster,TBEU,3,3;3;3,2,8,5,648,0.000528,True,None,18711,0.304312,6,None,16767,0.176546,5,None,648,0.004212,3,
5,5,dempster,TBEU,3,3;3;3,2,8,4,648,0.000537,True,None,17496,0.286480,6,None,13770,0.138230,5,None,648,0.004384,3,
